customer_id,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,tenure,monthly_charges,total_charges,churn
CUST_000001,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yearly,Yes,Credit card (automatic),5,70.20005714593601,351.41295429030663,1
CUST_000002,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),37,77.16507259663791,2882.029930861216,0
CUST_000003,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Mailed check,13,84.46768569883919,1044.6375937169687,0
CUST_000004,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,72,91.3121689139489,6555.763099347658,0
CUST_000005,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),5,35.80506539619031,94.27804760978275,1
CUST_000006,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),2,92.76588616548953,149.72983582421014,0
CUST_000007,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),1,35.708342659932995,80.34007071667759,0
CUST_000008,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),43,103.30274793832314,4371.2466730177875,1
CUST_000009,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,13,53.26586077638907,779.6550985191158,0
CUST_000010,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),1,80.09745121212849,130.54257523148397,1
CUST_000011,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Mailed check,49,103.07366993971849,5075.671884637354,1
CUST_000012,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,50,61.97664953552432,3165.5092832817145,1
CUST_000013,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,39,82.72012526791654,3220.033197125796,0
CUST_000014,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,6,23.675174802715063,105.17482476364376,1
CUST_000015,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),11,59.297005902398254,647.4699487298589,1
CUST_000016,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),32,55.304162365013426,1683.7909333184846,1
CUST_000017,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),16,66.87874406605334,1129.5968099316858,0
CUST_000018,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,4,62.90375879777005,234.17060629213913,1
CUST_000019,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),6,66.5117710264224,,0
CUST_000020,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),72,66.6975752416734,4770.248169533475,0
CUST_000021,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,3,71.6920195578511,215.90488058296884,0
CUST_000022,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),31,84.79118995956763,2634.5080397863526,0
CUST_000023,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),15,63.370526694614604,943.2526975934275,0
CUST_000024,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Mailed check,33,98.18326551172709,,0
CUST_000025,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),25,80.16272031562735,2031.5559754740848,0
CUST_000026,Yes,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),13,52.24513387430393,624.2529527098255,0
CUST_000027,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),10,80.76153228932773,818.8748939542418,1
CUST_000028,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),33,77.33255538632497,2536.081183135811,0
CUST_000029,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Mailed check,9,77.8155306344891,600.4403770745229,0
CUST_000030,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),37,68.24691390818882,2470.970652774047,0
CUST_000031,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),27,77.40731688037839,2050.398512850287,0
CUST_000032,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,,Yes,Mailed check,20,80.33681695161907,,0
